,sentence,word_index,sentence_index,l1_label,l2_label
0,"Extend the right hand with palm facing left and fingers together, making an 'O' shape with the thumb and index finger.",0,1,15,4
1,Keep the hand still for a moment.,0,2,94,38
2,Hold up one finger with the index finger extended,1,1,60,6
3,Tap finger to palm of other hand,1,2,74,2
4,Raise finger back up.,1,3,60,6
5,"Start with both hands in a closed fist with all fingers extended, palms facing towards you.",2,1,20,2
6,"Separate the hands, extending the pinky and thumb fingers on both hands to create a number 11 shape.",2,2,94,14
7,"Hold the number 11 shape up to eye level, in front of your chest.",2,3,70,7
8,Pause for a moment to indicate the number 11.,2,4,94,38
9,Hold up right hand with index finger extended,3,1,60,6
10,Tap index finger to palm of left hand twice,3,2,74,2
11,Curl fingers into a fist with thumb extended,3,3,82,3
12,Hold up fist with thumb extended to signify '1',3,4,70,4
13,Repeat steps 1-4 to signify '2',3,5,62,4
14,Hold up five fingers on one hand,4,1,70,6
15,Hold up one hand with fingers extended,4,2,70,6
16,Touch the index finger of the first hand to the thumb of the second hand,4,3,60,3
17,Tap the first hand against the palm of the second hand,4,4,71,1
18,"With both hands, hold up one index finger on each hand to represent the number 1.",5,1,60,2
19,Cross the wrists to show the number 8.,5,2,94,9
20,Hold up two fingers with the palm facing outward.,6,1,70,3
21,Bring the two fingers together to touch at the tips.,6,2,94,19
22,Hold up both hands with palms facing forward and fingers pointing up.,7,1,70,5
23,Bring both hands together to touch at the fingertips.,7,2,97,3
24,Separate hands and hold them in front of the body with palms facing outwards.,7,3,49,1
25,Bring hands back together and hold them with fingers touching.,7,4,65,3
26,Extend both hands in front of you.,8,1,24,1
27,Use your fingers to sign the number 2 with your right hand and the number 4 with your left hand.,8,2,57,7
28,Bring both hands together to show the combined number 24.,8,3,94,22
29,Use your right index finger to tap your left palm three times.,9,1,13,1
30,Hold up three fingers on one hand,10,1,70,6
31,Hold up a closed fist on the other hand,10,2,70,6
32,Tap the closed fist on the three fingers,10,3,67,5
33,Flex the fingers to show zero,10,4,94,1
34,Extend both hands with palms facing down and index fingers pointing forward.,11,1,54,4
35,Bring both hands together and touch fingertips.,11,2,97,4
36,Separate hands and bring them back to original position.,11,3,49,5
37,Hold up four fingers on one hand.,12,1,70,6
38,Shake hand back and forth to emphasize the number.,12,2,52,2
39,Nod head slightly.,12,3,87,1
40,Hold up four fingers on one hand.,13,1,70,6
41,Hold up five fingers on the other hand.,13,2,70,6
42,Bring both hands together to form the number 45.,13,3,78,3
43,Close hands into fists.,13,4,36,2
44,Hold up five fingers with your dominant hand.,14,1,70,6
45,Extend your arm outwards.,14,2,29,2
46,Shake your hand back and forth slightly.,14,3,52,4
47,Bring your hand back to your chest.,14,4,57,3
48,Extend both hands with five fingers up.,15,1,94,1
49,"Fold one hand palm down, leave the other hand with five fingers up.",15,2,47,13
50,Lift the folded hand up and place it above the hand with five fingers up.,15,3,91,1
51,Rotate both hands so that all fingers are facing down.,15,4,43,3
52,"Hold up both hands in fists, thumbs sticking out.",16,1,86,3
53,Extend both index fingers and tap them together twice.,16,2,67,4
54,"Extend all fingers on both hands and hold them up, palms facing outwards.",16,3,29,5
55,Rotate both hands in a circular motion.,16,4,99,1
56,Extend all fingers on one hand,17,1,47,2
57,Touch thumb to palm,17,2,94,15
58,Raise hand vertically,17,3,94,30
59,Wiggle fingers,17,4,94,23
