,sentence,word_index,sentence_index,l1_label,l2_label
0,Point to the side with your index finger.,0,1,64,1
1,Bring your finger down and draw a horizontal line in the air.,0,2,87,11
2,Snap your fingers.,0,3,24,1
3,Relax your hand.,0,4,84,4
4,Extend both index fingers and tap them together in front of the chest.,1,1,15,1
5,"Bring both hands up to the sides of the head, forming the letter 'A' with fingers.",1,2,94,1
6,"Extend both hands outwards in front of the body, palms facing down.",1,3,33,5
7,"Twist both hands in opposite directions, as if turning a key.",1,4,74,0
8,"Raise both hands above the head, wiggling fingers.",1,5,34,3
9,"Start with your dominant hand in a fist position, palm facing down.",2,1,98,7
10,"Move your hand downward in a swift, straight motion.",2,2,42,1
11,"Bring your non-dominant hand up to meet the dominant hand, also in a fist position.",2,3,67,1
12,Tap the bottom of your dominant hand with the top of your non-dominant hand.,2,4,12,5
13,"Place the index finger of your dominant hand on your non-dominant hand's palm, facing downwards.",3,1,4,2
14,Move the index finger in a circular motion on the palm of the non-dominant hand.,3,2,35,4
15,Bring the index finger up and out in a quick motion.,3,3,39,0
16,Open the hand as if releasing something.,3,4,22,0
17,"Start with both hands in fists, palms facing down, in front of your chest.",4,1,18,1
18,Flip both hands so the palms are facing upwards.,4,2,53,0
19,"Bring both hands up towards your shoulders, opening them slightly.",4,3,95,4
20,"Twist both hands outward at the wrists, with fingers pointing upwards.",4,4,71,5
21,"Bring both hands down and slightly outwards, as if emphasizing the ""plus"" symbol.",4,5,85,4
22,"Repeat the ""plus"" gesture with both hands a second time.",4,6,92,1
23,"Finish with a strong, confident hand movement downwards.",4,7,88,5
24,"Start with both hands open, palms facing up, and bring them together in front of your chest.",5,1,26,3
25,"Close your hands into fists, keeping your thumbs on top.",5,2,52,3
26,"Lift your hands up and outwards, as if pushing something away from you.",5,3,25,5
27,"Open your hands and extend your arms out to the sides, palms facing down.",5,4,23,1
28,"Begin with both hands held up at chest level, palms facing down.",6,1,56,6
29,"Slowly lower both hands downwards, keeping the palms facing down.",6,2,46,2
30,"As the hands reach waist level, tilt the head slightly to the right.",6,3,30,13
31,Curve the fingers of both hands slightly inward as if representing the setting sun.,6,4,93,4
32,"Start with hands crossed in front of chest, palms facing inward",7,1,18,1
33,"Uncross hands and bring them out to the sides, palms facing down",7,2,94,2
34,Tilt head slightly to the side,7,3,30,3
35,"Open hands with fingers pointing outwards, as if emphasizing a point",7,4,85,4
36,"Begin with hands at chest level, palms facing down.",8,1,56,6
37,Move hands downward and away from the body in a smooth motion.,8,2,2,2
38,"As hands drop, open fingers and allow them to separate slightly.",8,3,65,2
39,"Finish with hands at waist level, palms facing down and slightly outward.",8,4,56,7
40,"Place your dominant hand flat against your forehead, fingers spread, then move your hand downward and outward in a fan motion, as if cooling off.",9,1,70,2
41,Repeat the motion with your non-dominant hand.,9,2,14,7
42,"Bring both hands together in front of your body, palms facing down, then spread your fingers apart.",9,3,8,0
43,"Move your hands downward and outward, mimicking the sensation of cooling off.",9,4,42,1
44,"Start with both hands in a closed fist, palms facing each other in front of your chest.",10,1,17,0
45,"Slowly move both hands away from each other, as if saying goodbye.",10,2,2,3
46,"Open both hands and extend your arms outwards, showing the final parting gesture.",10,3,23,3
47,Hold your non-dominant hand horizontally in front of you.,11,1,47,5
48,"With your dominant hand, make a chopping motion down onto the non-dominant hand.",11,2,14,7
49,Move your dominant hand slightly to the side.,11,3,54,4
50,Bring your dominant hand back to the starting position.,11,4,77,5
51,"Start with both hands flat and palms facing down, in front of your chest.",12,1,18,1
52,"Slowly lower your hands downwards, mimicking something sinking.",12,2,46,2
53,Continue the downward motion until your hands reach waist level.,12,3,42,1
54,Keep a neutral expression on your face.,12,4,78,1
55,"Start with both hands held out in front of you, palms facing each other.",13,1,49,7
56,"Move your right hand to the left side and your left hand to the right side, alternating back and forth.",13,2,81,1
57,Continue the alternating movement for a few times.,13,3,97,7
58,Repeat the movement a bit faster to signify the concept of 'abwchseln'.,13,4,88,1
