,sentence,word_index,sentence_index,l1_label,l2_label
0,"Extend your index finger and thumb, touching the tips together",0,1,89,1
1,Bring your hand down slightly in a quick motion,0,2,87,0
2,Relax your hand and bring it back up to the starting position,0,3,16,0
3,"Hold your dominant hand in the 'A' handshape, palm facing up.",1,1,83,4
4,"Bring your non-dominant hand up to the side of your dominant hand, in the 'Z' handshape, palm facing inwards.",1,2,98,5
5,"Rotate your non-dominant hand so that the palm faces outward, parallel to your dominant hand.",1,3,98,6
6,Close both hands into fists simultaneously.,1,4,1,2
7,Point to the right side of the forehead with the index finger.,2,1,11,1
8,Bring the index finger down to the chin.,2,2,33,0
9,Move the hand in a small circle in front of the chest.,2,3,57,0
10,Tap the chest with the index finger.,2,4,89,0
11,"Extend both arms forward, palms facing down.",3,1,84,1
12,"Bring both hands back towards the body, palms facing up.",3,2,77,3
13,"Cross both hands in front of the chest, right hand over left.",3,3,61,1
14,"Extend both arms out to the sides, palms facing up.",3,4,50,2
15,"Bring both hands back towards the body, palms facing up.",3,5,77,3
16,"Cross both hands in front of the chest, left hand over right.",3,6,61,1
17,"Palms facing down, moving downwards in a quick motion",4,1,87,0
18,"Hands come together at chest level, fingers touching",4,2,70,0
19,Hands separate and move outwards again,4,3,72,1
20,Head nods slightly downwards in sync with hand movements.,4,4,38,0
21,Starting with both hands closed in fists at chest level.,5,1,76,0
22,"Extend both arms outwards and upwards, opening the hands into a flat position.",5,2,96,2
23,"Bring both hands back in towards the body, closing them into fists again.",5,3,77,5
24,"Bring both fists down to waist level, twisting them slightly as if tightening or securing something.",5,4,52,1
25,"Extend both hands in front of the body, palms facing down",6,1,69,0
26,Bring the hands together and close to the chest,6,2,1,0
27,Tilt the head slightly to the side,6,3,86,3
28,Move hands downward in a smooth motion to signify the end of the day,6,4,25,1
29,Move hand in a slashing motion across the chest from left to right.,7,1,58,0
30,Raise hand up slightly.,7,2,48,0
31,Tilt head slightly to the side.,7,3,86,3
32,Bring hand back to starting position.,7,4,53,2
33,Shake head subtly from side to side.,7,5,17,5
34,"Extend both hands in front of the body, palms facing down.",8,1,69,0
35,Move both hands downwards in a falling motion.,8,2,51,2
36,Open both hands as they reach the lowest point.,8,3,45,0
37,"Bring both hands back up to chest level, palms facing down.",8,4,4,1
38,Open both hands with fingers spread out.,9,1,46,2
39,Move hands downwards in a waving motion.,9,2,51,5
40,Bring hands close to body while making a shivering motion.,9,3,8,0
41,Repeat the waving motion downwards with hands still open.,9,4,55,7
42,Close hands into fists and move them away from body in a cooling gesture.,9,5,71,5
43,"Extend both hands out in front of you with palms facing down, then bring them in towards your chest.",10,1,65,0
44,"Move both hands outwards and downwards, as if symbolizing someone leaving.",10,2,22,4
45,Tilt your head slightly to the side while keeping your hands in the same position.,10,3,86,1
46,"Slowly lower your hands and head, emphasizing the concept of saying goodbye.",10,4,8,2
47,"Start with both hands flat, palms facing each other, then bring them downwards in a chopping motion.",11,1,28,4
48,Rotate both wrists outward at the same time.,11,2,24,3
49,"Bring both hands up to shoulder height, with palms facing up.",11,3,91,2
50,Cross both hands over each other in front of the chest.,11,4,61,2
51,"Extend both hands outwards, palms facing down.",11,5,69,2
52,"Bring both hands back to the starting position, ending with palms facing each other.",11,6,53,6
53,"Start with both hands held up near shoulders, palms facing down.",12,1,14,6
54,"Slowly lower both hands down in front of body, keeping palms facing down.",12,2,69,0
55,Continue lowering hands until they reach waist level.,12,3,45,1
56,Quickly bring hands back up to starting position near shoulders.,12,4,16,0
57,"Start with hands in front of chest, palms facing each other.",13,1,2,3
58,"Open and close hands in alternating motion, as if changing back and forth.",13,2,78,0
59,"Move hands in opposite directions, showing exchange or switch.",13,3,23,2
60,"End with hands crossed in front of chest, signifying alternating.",13,4,88,1
61,Start with hands open and palms facing down by shoulders.,14,1,14,5
62,Bring hands up and close into fists while lowering head slightly.,14,2,1,4
